SN2005M 0.022972 16.4456 0.788118332529 0.0273
SN2005am 0.008967 14.1786 1.48695206327 0.0435
SN2005el 0.014885 15.7131 1.13209517529 0.0977
SN2005eq 0.028351 16.8875 0.795543906314 0.0627
SN2005hc 0.044983 17.8934 0.703943368166 0.0281
SN2005iq 0.032929 17.3734 1.30335256604 0.0187
SN2005ki 0.02037 16.2138 1.39659252448 0.0267
SN2006bh 0.010493 14.9692 1.43070708753 0.0227
SN2007bd 0.031939 17.1701 1.26896260125 0.0288
SN2007on 0.006182 13.3482 1.63412837139 0.0099
SN2008R 0.012887 15.5969 1.58325793182 0.0618
SN2008bc 0.015707 15.9402 0.892245780945 0.2248
SN2008gp 0.032824 17.2476 1.06753164592 0.1036
SN2008hv 0.013581 15.4385 1.31833229131 0.0278
SN2008ia 0.022597 16.8144 1.11488567735 0.1949

