SN	S_BV		M_55
2005M 1.20599997044 -17.7299995422
2005el 0.833999991417 -16.7199993134
2005na 0.958000004292 -17.5699996948
2006D 0.81099998951 -16.6200008392
2006X 0.97000002861 -16.6700000763
2006et 1.10199999809 -17.75
2006kf 0.73299998045 -16.5200004578
2007af 0.925999999046 -17.2700004578
2007le 1.02300000191 -17.25
2007on 0.574000000954 -16.0300006866
2008C 0.947000026703 -16.8299999237
2008fp 1.0490000248 -17.0799999237
2008hv 0.846000015736 -16.7099990845
2008ia 0.837000012398 -16.6599998474
2005ke 0.418999999762 -15.5200004578
2007N 0.29699999094 -15.1199998856
2007ax 0.360000014305 -14.75
2006mr 0.259999990463 -14.2600002289
