#generated on Mon Nov 26 14:54:39 2012 using getpbinfo.pro
#
#Name lambda_eff(A) EW(A) zero_point(mag)
B_CSP                   4414.0297     960.3416     -20.4793
H_CSP                  16250.7799    2506.8430     -24.7787
J_CSP                  12440.3121    1737.3191     -23.7613
Ks_CSP                 21613.2548    2879.9806     -25.8894
V_CSP                   5408.5824     959.7810     -21.0694
Y_CSP                  10333.6141    1398.2265     -23.0746
g_CSP                   4765.0888    1210.6075     -20.7892
i_CSP                   7609.4613    1216.5154     -21.8117
r_CSP                   6223.2849    1174.6070     -21.3737
u_CSP                   3682.4147     347.1412     -20.1964
