#generated on Thu Oct 17 11:54:37 2013 using mklcbolinput.pro
#
#NAME     sn2005M
#AV_HOST  0.150 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.900 +/- 0.200
#NFILT    8 (B_Bessell,H_2MASS,I_Bessell,J_2MASS,Ks_2MASS,R_Bessell,U_Bessell,V_Bessell)
#
#FILTER B_Bessell - 9 MEASUREMENTS (MJD MAG MAGERR)
53397.20395   16.479     0.013
53398.20613   16.362     0.009
53399.18601   16.254     0.008
53400.19425   16.180     0.006
53401.17720   16.130     0.006
53402.17183   16.088     0.008
53403.21720   16.037     0.007
53404.20995   16.024     0.007
53406.21740   16.013     0.009
53407.26110   16.041     0.008
53408.22223   16.061     0.009
53409.22179   16.094     0.008
53410.23745   16.135     0.009
53411.22331   16.177     0.008
53412.21214   16.242     0.008
53413.16822   16.271     0.009
53414.16681   16.331     0.009
53415.22145   16.409     0.009
53416.15224   16.479     0.009
53417.20348   16.570     0.010
53418.16875   16.651     0.009
53419.16800   16.742     0.010
53420.23524   16.872     0.011
53421.20756   16.994     0.015
53422.13321   17.062     0.028
53424.16627   17.300     0.052
53426.16586   17.458     0.024
53427.16553   17.513     0.022
53428.12107   17.639     0.024
53429.13702   17.716     0.028
53430.03877   17.800     0.021
53431.10669   17.884     0.020
53432.14045   18.000     0.011
53436.14998   18.276     0.014
53438.13691   18.411     0.017
53444.15519   18.754     0.020
53445.15300   18.772     0.019
53446.15492   18.825     0.022
53453.06684   19.078     0.063
53454.09393   19.064     0.052
53455.06480   19.102     0.055
53456.07900   19.156     0.045
53457.08022   19.211     0.036
53458.06476   19.154     0.030
53459.05536   19.183     0.025
53460.05286   19.217     0.016
53464.03960   19.277     0.019
53465.09980   19.275     0.019
53466.09357   19.336     0.021
53472.03855   19.392     0.017
53474.01907   19.468     0.022
53476.00605   19.398     0.030
53478.04325   19.472     0.035
53479.03903   19.477     0.052
53479.99685   19.496     0.040
#FILTER H_2MASS - 15 MEASUREMENTS (MJD MAG MAGERR)
53397.20395   16.730     0.021
53398.20613   16.727     0.011
53404.20995   16.713     0.009
53405.23741   16.751     0.096
53418.16875   17.132     0.017
53422.13321   16.950     0.031
53426.16586   16.926     0.014
53427.16553   16.928     0.011
53428.12107   16.870     0.024
53433.12071   16.850     0.014
53454.09393   17.562     0.017
53455.06480   17.573     0.069
53456.07900   17.649     0.018
53462.05948   18.161     0.039

