SCH1p5                     bol       15.371  2.2649e+42     0.977  3    10.980    20.980
SCH1p5                     uvoir     15.422  1.7504e+42     1.040  3    10.980    20.980
SCH1p5                     U         12.637     -15.864     1.092  3     8.210    18.210
SCH1p5                     B         13.359     -16.636     1.516  3     8.210    18.210
SCH1p5                     V         15.620     -17.577     1.323  2    10.980    20.980
SCH1p5                     R         16.266     -17.852     1.225  2    10.980    20.980
SCH1p5                     I         18.422     -17.978     0.807  3    12.580    22.580
SCH1p5                     J         14.640     -17.797     0.888  3    10.530    18.530
SCH1p5                     H         19.577     -17.944     1.225  3    13.580    21.580
SCH1p5                     K       -999.990    -999.990  -999.990  0     0.000     0.000
SCH2p0                     bol       15.935  3.1679e+42     0.855  3    10.980    20.980
SCH2p0                     uvoir     16.082  2.5692e+42     0.976  3    10.980    20.980
SCH2p0                     U         13.811     -16.591     1.263  3     9.530    19.530
SCH2p0                     B         14.555     -17.272     1.644  2     9.530    19.530
SCH2p0                     V         16.937     -17.986     1.269  2    12.580    22.580
SCH2p0                     R         17.284     -18.178     1.074  2    12.580    22.580
SCH2p0                     I         18.872     -18.227     0.651  3    14.340    24.340
SCH2p0                     J         14.547     -17.981     0.763  3    10.530    18.530
SCH2p0                     H       -999.990    -999.990  -999.990  0     0.000     0.000
SCH2p0                     K       -999.990    -999.990  -999.990  0     0.000     0.000
SCH2p5                     bol       16.420  4.3625e+42     0.800  3    10.980    20.980
SCH2p5                     uvoir     16.736  3.6986e+42     0.927  3    12.580    22.580
SCH2p5                     U         16.550     -17.383     1.551  2    12.580    22.580
SCH2p5                     B         14.885     -17.865     1.605  3     9.530    19.530
SCH2p5                     V         18.196     -18.346     1.183  2    12.580    22.580
SCH2p5                     R         17.994     -18.451     0.899  2    12.580    22.580
SCH2p5                     I         18.676     -18.378     0.357  3    14.340    24.340
SCH2p5                     J         14.207     -18.125     0.907  3    10.530    18.530
SCH2p5                     H       -999.990    -999.990  -999.990  0     0.000     0.000
SCH2p5                     K         13.594     -17.893    -0.176  3     9.210    17.210
SCH3p0                     bol       16.500  5.7575e+42     0.801  3    10.980    20.980
SCH3p0                     uvoir     16.750  5.0297e+42     0.895  3    10.980    20.980
SCH3p0                     U         16.750     -18.147     1.683  3    10.980    20.980
SCH3p0                     B         15.233     -18.301     1.465  3     9.530    19.530
SCH3p0                     V         19.138     -18.617     1.082  2    14.340    24.340
SCH3p0                     R         18.325     -18.650     0.776  2    12.580    22.580
SCH3p0                     I         17.502     -18.477     0.195  3    12.580    22.580
SCH3p0                     J         13.679     -18.225     1.149  3     9.210    17.210
SCH3p0                     H         13.164     -17.976    -0.332  3     9.210    17.210
SCH3p0                     K         12.426     -17.917    -0.204  3     8.010    16.010
SCH3p5                     bol       16.361  7.3373e+42     0.815  3    10.980    20.980
SCH3p5                     uvoir     16.816  6.5340e+42     0.890  3    12.580    22.580
SCH3p5                     U         16.062     -18.697     1.565  3     9.530    19.530
SCH3p5                     B         16.537     -18.622     1.377  3    10.980    20.980
SCH3p5                     V         19.769     -18.839     0.961  2    14.340    24.340
SCH3p5                     R         18.454     -18.811     0.717  2    14.340    24.340
SCH3p5                     I         16.244     -18.558     0.266  3    10.980    20.980
SCH3p5                     J         13.019     -18.289     1.404  3     9.210    17.210
SCH3p5                     H         11.702     -17.977    -0.159  3     8.010    16.010
SCH3p5                     K         11.609     -17.936    -0.087  3     8.010    16.010
SCH4p0                     bol       16.515  9.0064e+42     0.839  3    10.980    20.980
SCH4p0                     uvoir     17.115  8.1016e+42     0.895  3    12.580    22.580
SCH4p0                     U         15.238     -19.072     1.309  3    10.980    20.980
SCH4p0                     B         17.301     -18.884     1.241  3    12.580    22.580
SCH4p0                     V         20.053     -19.029     0.850  2    14.340    24.340
SCH4p0                     R         18.721     -18.952     0.716  2    14.340    24.340
SCH4p0                     I         16.068     -18.626     0.446  3    10.980    20.980
SCH4p0                     J         12.138     -18.321     1.537  3     8.010    16.010
SCH4p0                     H         10.659     -17.982     0.048  3     6.920    14.920
SCH4p0                     K         10.899     -17.956     0.014  3     6.920    14.920
SCH4p5                     bol       16.559  1.0774e+43     0.862  3    10.980    20.980
SCH4p5                     uvoir     17.075  9.7166e+42     0.893  3    12.580    22.580
SCH4p5                     U         14.951     -19.357     1.153  3     9.530    19.530
SCH4p5                     B         17.502     -19.092     1.103  3    12.580    22.580
SCH4p5                     V         19.946     -19.194     0.804  2    14.340    24.340
SCH4p5                     R         18.925     -19.077     0.758  2    14.340    24.340
SCH4p5                     I         16.618     -18.687     0.644  3    10.980    20.980
SCH4p5                     J         11.218     -18.335     1.541  3     6.920    14.920
SCH4p5                     H          9.851     -17.986     0.162  3     5.930    13.930
SCH4p5                     K         10.302     -17.978     0.046  3     5.930    13.930
SCH5p0                     bol       16.376  1.2513e+43     0.869  3    10.980    20.980
SCH5p0                     uvoir     16.873  1.1286e+43     0.885  3    12.580    22.580
SCH5p0                     U         14.546     -19.575     1.018  3     9.530    19.530
SCH5p0                     B         17.349     -19.255     0.974  3    12.580    22.580
SCH5p0                     V         19.564     -19.340     0.809  2    14.340    24.340
SCH5p0                     R         18.961     -19.191     0.809  2    14.340    24.340
SCH5p0                     I         17.058     -18.749     0.845  3    12.580    22.580
SCH5p0                     J         10.274     -18.333     1.421  3     5.930    13.930
SCH5p0                     H          9.135     -17.987     0.207  3     5.030    13.030
SCH5p0                     K          9.766     -17.998     0.038  3     5.930    13.930
SCH5p5                     bol       16.258  1.4182e+43     0.873  3    10.980    20.980
SCH5p5                     uvoir     16.662  1.2810e+43     0.878  3    10.980    20.980
SCH5p5                     U         14.338     -19.749     0.922  3     9.530    19.530
SCH5p5                     B         17.034     -19.393     0.884  3    12.580    22.580
SCH5p5                     V         19.058     -19.467     0.834  2    14.340    24.340
SCH5p5                     R         18.890     -19.285     0.832  2    14.340    24.340
SCH5p5                     I         17.325     -18.806     1.051  3    12.580    22.580
SCH5p5                     J          9.412     -18.322     1.210  3     5.030    13.030
SCH5p5                     H          8.508     -17.984     0.201  3     4.210    12.210
SCH5p5                     K          9.281     -18.013     0.008  3     5.030    13.030
SCH6p0                     bol       16.046  1.5702e+43     0.862  3    10.980    20.980
