DDC0_0p5d    bol     16.689   1.8459e+43
DDC0_0p5d      Y      8.747      -18.344
DDC0_0p5d      J      8.740      -18.344
DDC0_0p5d      H      7.977      -18.029
DDC6_0p5d    bol     16.845   1.5738e+43
DDC6_0p5d      Y     11.308      -18.474
DDC6_0p5d      J     11.302      -18.474
DDC6_0p5d      H      9.102      -18.083
DDC10_0p5d   bol     17.127   1.3772e+43
DDC10_0p5d     Y     12.236      -18.519
DDC10_0p5d     J     12.229      -18.518
DDC10_0p5d     H      9.769      -18.108
DDC15_0p5d   bol     17.565   1.1436e+43
DDC15_0p5d     Y     13.431      -18.534
DDC15_0p5d     J     13.431      -18.534
DDC15_0p5d     H     10.932      -18.132
DDC17_0p5d   bol     18.600   9.1006e+42
DDC17_0p5d     Y     14.932      -18.561
DDC17_0p5d     J     14.925      -18.560
DDC17_0p5d     H     13.037      -18.200
DDC20_0p5d   bol     18.652   6.6507e+42
DDC20_0p5d     Y     15.479      -18.486
DDC20_0p5d     J     15.486      -18.486
DDC20_0p5d     H     15.238      -18.260
DDC22_0p5d   bol     19.632   4.4657e+42
DDC22_0p5d     Y     16.629      -18.310
DDC22_0p5d     J     16.629      -18.311
DDC22_0p5d     H   -999.999     -999.999
DDC25_0p5d   bol     21.040   2.6158e+42
DDC25_0p5d     Y     18.812      -17.999
DDC25_0p5d     J     18.805      -17.999
DDC25_0p5d     H   -999.999     -999.999

