2004ey  0.66 0.15
2004gs  0.44 0.12
2004gu  0.77 0.17
2005A   0.56 0.14
2005ag  0.67 0.16
2005al  0.51 0.13
2005na  0.56 0.13
2006D   0.5 0.13
2006X   0.58 0.14
2006ax  0.68 0.16
2006et  0.67 0.15
2006hb  0.33 0.1
2006kf  0.53 0.14
2006ob  0.44 0.12
2006os  0.58 0.14
2007S   0.77 0.17
2007af  0.6 0.15
2007as  0.45 0.12
2007bc  0.57 0.13
2007bm  0.66 0.16
2007ca  0.69 0.16
2007if  0.67 0.16
2007jg  0.56 0.14
2007le  0.65 0.16
2007nq  0.45 0.12
2008C   0.61 0.14
2008fp  0.67 0.15
