SN2004ef	35.5780532571	0.0733994312961
SN2004eo	34.0254644173	0.144286757132
SN2004ey	34.0094559573	0.145296368232
SN2004gs	35.4018131644	0.0792302219072
SN2004gu	36.5928935129	0.0474351226844
SN2005A	34.5069562484	0.116971354223
SN2005M	35.00374146	0.0942018893268
SN2005ag	37.8055955864	0.0285141843118
SN2005al	33.7983746105	0.159279851658
SN2005el	34.0478612874	0.142885891232
SN2005eq	35.4695689477	0.0769344390057
SN2005hc	36.4993054093	0.0493676643391
SN2005hj	37.0307288903	0.039396073489
SN2005iq	35.8022083792	0.0666136790982
SN2005kc	33.8959403982	0.152658658991
SN2005ki	34.7383341216	0.105748260161
SN2005ku	36.4588867742	0.0502276462303
SN2005na	35.3460588655	0.0811717780463
SN2006ax	34.4604822598	0.119365719842
SN2006bd	35.3445707402	0.081224259838
SN2006bh	33.2811467262	0.199373325707
SN2006br	35.2366731783	0.0851231456346
SN2006bt	35.771653671	0.0674992845049
SN2006ej	34.6231297174	0.111194327202
SN2006eq	36.6618742602	0.0460616609757
SN2006et	34.8241619639	0.101866037864
SN2006ev	35.4099425146	0.078951117264
SN2006gj	35.4220420761	0.0785375623238
SN2006gt	36.4313548212	0.0508224104692
SN2006hb	34.1135851635	0.138852355043
SN2006hx	36.4702329012	0.0499846636017
SN2006is	35.6979214119	0.0696866377643
SN2006kf	34.7843126051	0.103650350344
SN2006lu	36.9272122543	0.0411569532468
SN2006ob	37.0820494542	0.0385528916294
SN2006os	35.744153197	0.0683067345994
SN2006ot	36.8321345551	0.0428478200561
SN2007A	34.269333998	0.12973955891
SN2007N	33.9132560704	0.151512249305
SN2007S	34.0682805765	0.141620461035
SN2007ai	35.737625753	0.0684998451226
SN2007as	34.4529902426	0.11975627525
SN2007ba	36.1827768952	0.0565373250262
SN2007bc	34.8932239663	0.0988467212217
SN2007bd	35.7342853562	0.0685988860352
SN2007ca	34.0749969246	0.141206665249
SN2007hx	37.7724690643	0.0289063681046
SN2007if	37.5981842149	0.0310680188537
SN2007jg	36.0363679935	0.0602127063729
SN2007nq	36.4448297422	0.0505304003471
SN2008C	34.3485962064	0.125333004676
SN2008R	33.7314843878	0.163981866417
SN2008bc	34.1659759481	0.13571814832
SN2008bq	35.9018664661	0.0638075430702
SN2008gp	35.7950996883	0.0668186446722
SN2008hv	33.846563238	0.155974951576
SN2008ia	34.9673727673	0.0957055102705
SN2009F	33.7352256496	0.163715309699
SN2009dc	34.8471790246	0.10084955655
