SN	Dm15(V)		Dm15(B)
SN2005ke 1.27672199412 1.78845043125
SN2006mr 1.41589615247 1.84147023593
SN2007ax 1.40776390249 1.86821723855
SN2007N 1.43864176629 1.79433277965
SN2007ba 1.3251997453 1.88409186523
SN2007on 1.14046474588 1.91192788643
SN2008R 1.05993441347 1.85316757015
SN2009F 1.42302075007 2.00955260901

