-5.000     0.1537     0.2552     -.4730E-01 -.2000     -1.350     -.4000    
 -4.000     0.9647E-01 0.1773     -.7093E-01 -.1600     -1.080     -.3200    
 -3.000     0.5355E-01 0.1139     -.7773E-01 -.1200     -.8100     -.2400    
 -2.000     0.2357E-01 0.6384E-01 -.6783E-01 -.8000E-01 -.5400     -.1600    
 -1.000     0.5791E-02 0.2612E-01 -.4163E-01 -.4000E-01 -.2700     -.8000E-01
 0.0000E+00 -.1170E-03 -.9492E-06 0.1205E-05 0.0000E+00 -.2220E-15 -.2776E-16
  1.000     0.5716E-02 -.1520E-01 0.5576E-01 0.4000E-01 0.2700     0.8000E-01
  2.000     0.2324E-01 -.2012E-01 0.1240     0.8000E-01 0.5400     0.1600    
  3.000     0.5236E-01 -.1543E-01 0.2027     0.1200     0.8100     0.2400    
  4.000     0.9290E-01 -.1825E-02 0.2900     0.1600      1.080     0.3200    
  5.000     0.1445     0.1997E-01 0.3839     0.2000      1.360     0.3800    
  6.000     0.2068     0.4917E-01 0.4829     0.2300      1.630     0.4600    
  7.000     0.2790     0.8497E-01 0.5857     0.2700      1.910     0.5300    
  8.000     0.3604     0.1266     0.6913     0.3100      2.180     0.6100    
  9.000     0.4500     0.1731     0.7991     0.3300      2.450     0.6000    
  10.00     0.5468     0.2238     0.9088     0.3100      2.550     0.5400    
  11.00     0.6497     0.2779      1.020     0.2700      2.600     0.4700    
  12.00     0.7576     0.3347      1.133     0.2100      2.650     0.4400    
  13.00     0.8692     0.3935      1.255     0.1700      2.630     0.3900    
  14.00     0.9835     0.4538      1.369     0.1300      2.570     0.3500    
  15.00      1.099     0.5150      1.483     0.9000E-01  2.530     0.3000    
  16.00      1.215     0.5767      1.597     0.5000E-01  2.490     0.2600    
  17.00      1.331     0.6386      1.711     0.1000E-01  2.440     0.2400    
  18.00      1.446     0.7005      1.825     -.4000E-01  2.390     0.2100    
  19.00      1.558     0.7622      1.939     -.8000E-01  2.340     0.1900    
  20.00      1.667     0.8235      2.053     -.1200      2.280     0.1800    
  21.00      1.773     0.8845      2.167     -.1600      2.200     0.1800    
  22.00      1.875     0.9451      2.281     -.2000      2.150     0.1800    
  23.00      1.973      1.005      2.395     -.2400      2.100     0.1900    
  24.00      2.067      1.065      2.509     -.2500      2.050     0.2100    
  25.00      2.156      1.125      2.623     -.2600      1.990     0.2400    
  26.00      2.240      1.184      2.737     -.2400      1.970     0.2700    
  27.00      2.320      1.243      2.851     -.2100      1.950     0.3000    
  28.00      2.395      1.301      3.044     -.1700      1.930     0.3600    
  29.00      2.465      1.359      3.069     -.1300      1.930     0.4000    
  30.00      2.530      1.416      3.095     -.6000E-01  1.950     0.4600    
  31.00      2.591      1.473      3.120     0.1000E-01  1.980     0.5100    
  32.00      2.647      1.528      3.145     0.8000E-01  2.030     0.5700    
  33.00      2.699      1.581      3.170     0.1600      2.110     0.6500    
  34.00      2.747      1.634      3.195     0.2000      2.200     0.7300    
  35.00      2.791      1.684      3.221     0.2700      2.320     0.8300    
  36.00      2.831      1.731      3.246     0.3500      2.420     0.8500    
  37.00      2.868      1.776      3.271     0.4000      2.520     0.8900    
  38.00      2.902      1.819      3.296     0.4700      2.600     0.9300    
  39.00      2.934      1.858      3.321     0.5500      2.710     0.9700    
  40.00      2.963      1.894      3.347     0.6300      2.810      1.010    
  41.00      2.990      1.928      3.372     0.6900      2.900      1.050    
  42.00      3.016      1.959      3.397     0.7500      3.000      1.090    
  43.00      3.041      1.980      3.422     0.8200      3.090      1.130    
  44.00      3.065      2.010      3.447     0.8900      3.190      1.170    
  45.00      3.088      2.030      3.473     0.9200      3.280      1.210    
  46.00      3.090      2.060      3.498     0.9500      3.370      1.250    
  47.00      3.115      2.089      3.523     0.9900      3.450      1.290    
  48.00      3.132      2.115      3.548      1.030      3.530      1.330    
  49.00      3.148      2.141      3.573      1.070      3.610      1.370    
  50.00      3.165      2.166      3.599      1.110      3.690      1.410    
  51.00      3.182      2.192      3.624      1.150      3.770      1.450    
  52.00      3.198      2.217      3.649      1.190      3.840      1.490    
  53.00      3.215      2.243      3.674      1.230      3.900      1.530    
  54.00      3.232      2.269      3.699      1.270      3.970      1.570    
  55.00      3.249      2.294      3.725      1.310      4.040      1.610    
  56.00      3.265      2.320      3.750      1.350      4.100      1.650    
  57.00      3.282      2.345      3.775      1.390      4.150      1.690    
  58.00      3.299      2.371      3.800      1.430      4.210      1.730    
  59.00      3.315      2.397      3.825      1.470      4.270      1.770    
  60.00      3.332      2.422      3.851      1.510      4.320      1.810    
  61.00      3.349      2.448      3.876      1.550      4.383      1.850    
  62.00      3.365      2.473      3.901      1.590      4.426      1.890    
  63.00      3.382      2.499      3.926      1.630      4.469      1.930    
  64.00      3.399      2.525      3.951      1.670      4.512      1.970    
  65.00      3.415      2.550      3.977      1.710      4.555      2.010    
  66.00      3.432      2.576      4.002      1.750      4.598      2.050    
  67.00      3.449      2.601      4.027      1.790      4.641      2.090    
  68.00      3.466      2.627      4.052      1.830      4.684      2.130    
  69.00      3.482      2.653      4.077      1.870      4.727      2.170    
  70.00      3.499      2.678      4.103      1.910      4.770      2.210    
  71.00      3.516      2.704      4.128      1.950      4.813      2.250    
  72.00      3.532      2.729      4.153      1.990      4.856      2.290    
  73.00      3.549      2.755      4.178      2.030      4.899      2.330    
  74.00      3.566      2.781      4.203      2.070      4.942      2.370    
  75.00      3.582      2.806      4.229      2.110      4.985      2.410    
  76.00      3.599      2.832      4.254      2.150      5.028      2.450    
  77.00      3.616      2.857      4.279      2.190      5.071      2.490    
  78.00      3.633      2.883      4.304      2.230      5.114      2.530    
  79.00      3.649      2.909      4.329      2.270      5.157      2.570    
  80.00      3.666      2.934      4.355      2.310      5.200      2.610    
  81.00      3.683      2.960      4.380      2.350      5.243      2.650    
  82.00      3.699      2.985      4.405      2.390      5.286      2.690    
  83.00      3.716      3.011      4.430      2.430      5.329      2.730    
  84.00      3.733      3.037      4.455      2.470      5.372      2.770    
  85.00      3.750      3.062      4.481      2.510      5.415      2.810    
  86.00      3.766      3.088      4.506      2.550      5.458      2.850    
  87.00      3.783      3.113      4.531      2.590      5.501      2.890    
  88.00      3.800      3.139      4.556      2.630      5.544      2.930    
  89.00      3.816      3.165      4.581      2.670      5.587      2.970    
