56611.14 16.913 (0.016) 16.643 (0.022) 16.627 (0.028)
56613.12 16.223 (0.011) 16.156 (0.014) 16.063 (0.016)
56617.11 15.338 (0.009) 99	(99) 		15.315 (0.011)
56622.10 15.073 (0.009) 15.059 (0.009) 15.206 (0.011)
56623.14 15.139 (0.009) 15.058 (0.009) 15.207 (0.013)
56624.07 15.225 (0.009) 15.196 (0.009) 15.303 (0.011)
56638.05 15.186 (0.009) 15.996 (0.012) 15.291 (0.012)
56648.03 15.267 (0.009) 16.317 (0.014) 15.824 (0.022)
56650.04 15.422 (0.009) 16.552 (0.019) 16.063 (0.020)
56653.03 15.605 (0.010) 16.884 (0.023) 99 (99)
56654.04 15.655 (0.011) 16.956 (0.028) 16.277 (0.035)

