SN2004ef  0.396434703153 0.153234736869
SN2004eo  0.0755677803823 0.15385895854
SN2004ey  0.0586650178243 0.0887476364569
SN2004gc  0.488739532958 0.289761425929
SN2004gs  0.370239212408 0.129561620774
SN2004gu  0.180935733464 0.123585901505
SN2005A  1.58052989692 0.116847992868
SN2005M  0.192891231431 0.147544979563
SN2005W  0.541314368664 0.261280604017
SN2005ag  0.207006668165 0.160344167109
SN2005al  0.0882780003909 0.0728982125689
SN2005am  0.200982176258 0.108804593394
SN2005bg  0.191158924006 0.218130871507
SN2005bl  0.436962468518 0.301106887697
SN2005bo  0.748302696611 0.334522686481
SN2005el  0.0587090649049 0.0544550397292
SN2005eq  0.128589484467 0.144803550787
SN2005hc  0.186504630775 0.127313140076
SN2005hj  0.283718402006 0.208113723997
SN2005iq  0.157684900376 0.120232284564
SN2005ir  0.202748742478 0.204019277529
SN2005kc  0.650619238317 0.131327510062
SN2005ke  0.105481986266 0.10595787643
SN2005ki  0.0562865069264 0.0652553731727
SN2005ku  0.332060446372 0.261670095723
SN2005lu  0.546886159716 0.315673553596
SN2005mc  0.461715145247 0.254794984596
SN2005na  0.114921657325 0.13305203518
SN2006D  0.334384695413 0.170490057782
SN2006X  1.76809908866 0.137942296471
SN2006ax  0.0472495828496 0.0576766218145
SN2006bd  0.0533232462769 0.101231770633
SN2006bh  0.157812013493 0.104952156191
SN2006br  1.69867549501 0.28511107643
SN2006ef  0.130723164284 0.171565148353
SN2006ej  0.16667275837 0.15822120311
SN2006eq  0.262299050516 0.15027765456
SN2006et  0.405760311111 0.130073268724
SN2006ev  0.538642877936 0.19457004903
SN2006fw  0.960040701207 0.758049599007
SN2006gj  0.686819812242 0.159629825935
SN2006gt  0.136898347747 0.100877241622
SN2006hb  0.0808011177845 0.0643259267594
SN2006hx  0.50406186995 0.461712841469
SN2006kf  0.160560443498 0.0906626287123
SN2006lu  0.10850872598 0.118986219371
SN2006mr  0.248687971139 0.132462567376
SN2006ob  0.225589712474 0.117278143816
SN2006os  0.755063314558 0.204795264023
SN2006py  0.326750360071 0.17735107499
SN2007A  0.56910498199 0.134481401935
SN2007N  0.383940154503 0.151207267187
SN2007S  0.763900208346 0.100157558923
SN2007af  0.319967787032 0.130352175103
SN2007ai  0.655945410649 0.178921492836
SN2007as  0.237415068568 0.147122791063
SN2007ax  0.445665505854 0.19244913608
SN2007bc  0.288071456668 0.127060104052
SN2007bd  0.128797903613 0.154552517402
SN2007bm  0.787748503617 0.124233793282
SN2007ca  0.908669492173 0.149805093888
SN2007hx  0.614876667874 0.260943326331
SN2007jg  0.26079940918 0.181257804623
SN2007jh  0.30409644985 0.197280863398
SN2007le  0.503237174965 0.118802645008
SN2007mm  0.291963863756 0.198550955305
SN2007nq  0.229341713316 0.139586013846
SN2008C  0.322979971459 0.19834161913
SN2008R  0.0349426389442 0.0515163389381
SN2008bq  0.230489653371 0.168942759821
SN2008fp  0.751558316199 0.116821160635
SN2008hv  0.11841620923 0.119158212005
SN2008ia  0.265842340572 0.138742478357
SN2009F  0.0880719523516 0.15530622808
