00E	13.740311161	14.3808080808
00bh	16.696111079	2.71606060606
01ba	17.2025625628	-7.98939393939
01bt	14.1382952138	-15.0
01cn	15.9025473868	17.07
01cz	15.2285332434	-15.0
01el	12.9869715321	19.31
02bo	13.9029610377	-2.67575757576
02dj	14.7722902837	-2.07070707071
02fk	13.9234626317	-1.95656565657
03cg	13.6272096433	-3.41
03gs	-945493979.081	-15.0
03hv	8.14908802779	-15.0
11fe	10.5880918395	19.79
80N	6.80677134146	-15.0
81B	11.3505513442	-15.0
98bu	11.7214183298	-8.12727272727
99ee	15.0148154719	-3.86464646465
99ek	16.2110536756	-3.77818181818
