		44591.5			13.50	7				13.46	8				13.32	9				\\	
		44592.7			13.61	4				13.38	2				13.32	5				\\	
		44596.6			14.40	4				13.44	3				13.38	4				\\	
		44618.6			14.15	3				13.47	2				13.59	2				\\	
		44621.6			14.47	3				13.66	2				13.82	2				\\	
		44624.6			14.76	4				13.84	2				14.01	3				\\	
		44631.7			15.42	5				14.18	3				14.34	4				\\	
		44653.5			16.74	8				15.11	4				15.20	11				\\	
		44657.6			99	99				15.15	8				99	99				\\	
		44667.5			99	99				15.74	11				99	99				\\	
		44676.5			17.65	16				16.00	8				99	99				\\	
		44677.5			17.69	20				16.24	7				16.21	11				\\	
		44685.5			17.54	19				16.50	9				99	99				\\	
