50944.8	11.77	5		11.73	5		11.81	5		&\\	
50945.6	11.76	6		11.88	6		11.81	5		\\	
50945.7	11.67	5		11.66	5		11.67	5		\\	
50947.7	11.49	5		11.58	5		11.42	5		\\	
50948.6	11.59	6		11.77	6		11.59	5		\\	
50949.4	11.55	3		11.59	3		11.42	3		\\	
50950.4	11.68	3		11.86	3		11.44	3		\\	
50951.9	11.66	4		11.84	4		11.60	3		\\	
50952.7	11.71	4		11.88	4		11.63	3		\\	
50953.4	11.89	5		11.95	5		11.60	5		\\	
50955.4	11.87	5		11.83	5		11.66	5		\\	
50957.4	12.06	5		11.88	5		11.61	5		\\	
50958.4	12.05	5		11.96	5		11.75	5		\\	
50959.8	12.42	3		11.97	3		11.88	3		\\	
50970.3	99	99		11.75	5		11.84	4		\\	
50970.7	13.32	6		11.94	5		11.95	5		\\	
50974.9	13.23	6		11.68	6		11.89	5		\\	
50976.0	13.12	4		11.79	3		11.77	3		\\	
50976.8	13.08	1		11.74	2		11.92	2		\\	
50976.9	13.08	6		11.65	6		11.77	5		\\	
50978.6	12.81	6		11.73	6		11.74	5		\\	
50978.9	99	99		11.67	10		11.77	10		\\	
50984.8	12.68	5		12.00	3		12.05	4		\\	
