00E	-4.69389542002	-15.0
00bh	17.0598420052	4.45292929293
01ba	16.9517306944	-3.31565656566
01bt	15.3992240308	-1.46818181818
01cn	15.7276586207	0.87303030303
01cz	15.3940598561	-2.08363636364
01el	12.8000973748	-2.8702020202
02bo	13.613609461	-2.67575757576
02dj	14.7722902837	-2.07070707071
02fk	13.7722151117	-3.71919191919
03cg	13.5741094603	-3.76121212121
03gs	-1751665664.79	-15.0
03hv	6.2036417722	-15.0
11fe	10.3544293688	-4.10616161616
80N	6.36404960711	-15.0
81B	12.422945464	-1.3303030303
98bu	11.5948468372	-4.52727272727
99ee	14.7058485272	-3.16868686869
99ek	16.1125258001	-2.84303030303
